ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	14173	3.428285000
192.168.1.50	192.168.1.40	14174	3.428289000
192.168.1.50	192.168.1.40	14175	3.428292000
192.168.1.50	192.168.1.40	14180	3.432095000
192.168.1.50	192.168.1.40	14184	3.437516000
192.168.1.50	192.168.1.40	14185	3.437520000
192.168.1.50	192.168.1.40	14186	3.437734000
192.168.1.50	192.168.1.40	14341	3.482507000
192.168.1.50	192.168.1.40	14342	3.482511000
192.168.1.50	192.168.1.40	14343	3.482515000
192.168.1.50	192.168.1.40	14347	3.488477000
192.168.1.50	192.168.1.40	14411	3.507542000
192.168.1.50	192.168.1.40	14412	3.507547000
192.168.1.50	192.168.1.40	14413	3.507725000
192.168.1.50	192.168.1.40	14414	3.507729000
192.168.1.50	192.168.1.40	14492	3.538397000
192.168.1.50	192.168.1.40	14542	3.553229000
192.168.1.50	192.168.1.40	14544	3.553247000
192.168.1.50	192.168.1.40	14548	3.553414000
192.168.1.50	192.168.1.40	14581	3.568076000
192.168.1.50	192.168.1.40	14610	3.573159000
192.168.1.50	192.168.1.40	14611	3.573168000
192.168.1.50	192.168.1.40	14612	3.573300000
192.168.1.50	192.168.1.40	14616	3.578757000
192.168.1.50	192.168.1.40	14744	3.619352000
192.168.1.50	192.168.1.40	14745	3.619568000
192.168.1.50	192.168.1.40	14747	3.619719000
192.168.1.50	192.168.1.40	14802	3.628857000
192.168.1.50	192.168.1.40	14803	3.629042000
192.168.1.50	192.168.1.40	14804	3.629046000
192.168.1.50	192.168.1.40	14805	3.629049000
192.168.1.50	192.168.1.40	14812	3.633612000
192.168.1.50	192.168.1.40	14908	3.664242000
192.168.1.50	192.168.1.40	14909	3.664246000
192.168.1.50	192.168.1.40	14911	3.664478000
192.168.1.50	192.168.1.40	15005	3.690058000
192.168.1.50	192.168.1.40	15006	3.690062000
192.168.1.50	192.168.1.40	15007	3.690066000
192.168.1.50	192.168.1.40	15008	3.690231000
192.168.1.50	192.168.1.40	15011	3.694477000
192.168.1.50	192.168.1.40	15103	3.724831000
192.168.1.50	192.168.1.40	15104	3.724835000
192.168.1.50	192.168.1.40	15105	3.725039000
192.168.1.50	192.168.1.40	15197	3.750326000
192.168.1.50	192.168.1.40	15198	3.750331000
192.168.1.50	192.168.1.40	15199	3.750481000
192.168.1.50	192.168.1.40	15200	3.750486000
192.168.1.50	192.168.1.40	15205	3.755597000
192.168.1.50	192.168.1.40	15291	3.775982000
192.168.1.50	192.168.1.40	15292	3.775986000
192.168.1.50	192.168.1.40	15293	3.776230000
192.168.1.50	192.168.1.40	15394	3.800748000
192.168.1.50	192.168.1.40	15410	3.805115000
192.168.1.50	192.168.1.40	15411	3.805294000
192.168.1.50	192.168.1.40	15412	3.805299000
192.168.1.50	192.168.1.40	15413	3.805545000
192.168.1.50	192.168.1.40	15512	3.831087000
192.168.1.50	192.168.1.40	15514	3.831110000
192.168.1.50	192.168.1.40	15515	3.831376000
192.168.1.50	192.168.1.40	15564	3.845439000
192.168.1.50	192.168.1.40	15630	3.860527000
192.168.1.50	192.168.1.40	15631	3.860532000
192.168.1.50	192.168.1.40	15632	3.860711000
192.168.1.50	192.168.1.40	15633	3.860715000
192.168.1.50	192.168.1.40	15714	3.886128000
192.168.1.50	192.168.1.40	15715	3.886132000
192.168.1.50	192.168.1.40	15716	3.886362000
192.168.1.50	192.168.1.40	15774	3.901975000
192.168.1.50	192.168.1.40	15840	3.916607000
192.168.1.50	192.168.1.40	15841	3.916612000
192.168.1.50	192.168.1.40	15842	3.916615000
192.168.1.50	192.168.1.40	15843	3.916778000
192.168.1.50	192.168.1.40	15847	3.922186000
192.168.1.50	192.168.1.40	15848	3.922190000
192.168.1.50	192.168.1.40	15849	3.922366000
192.168.1.50	192.168.1.40	15931	3.946594000
192.168.1.50	192.168.1.40	15993	3.962861000
192.168.1.50	192.168.1.40	16003	3.966491000
192.168.1.50	192.168.1.40	16004	3.966653000
192.168.1.50	192.168.1.40	16069	3.986395000
192.168.1.50	192.168.1.40	16073	3.986627000
192.168.1.50	192.168.1.40	16074	3.986633000
192.168.1.50	192.168.1.40	16075	3.986636000
192.168.1.50	192.168.1.40	16080	3.991485000
192.168.1.50	192.168.1.40	16176	4.022771000
192.168.1.50	192.168.1.40	16182	4.027682000
192.168.1.50	192.168.1.40	16183	4.027847000
192.168.1.50	192.168.1.40	16255	4.047821000
192.168.1.50	192.168.1.40	16335	4.057555000
192.168.1.50	192.168.1.40	16437	4.061891000
192.168.1.50	192.168.1.40	16458	4.062772000
192.168.1.50	192.168.1.40	16461	4.062925000
192.168.1.50	192.168.1.40	16496	4.067795000
192.168.1.50	192.168.1.40	16497	4.067800000
192.168.1.50	192.168.1.40	16505	4.072237000
192.168.1.50	192.168.1.40	16827	4.107929000
192.168.1.50	192.168.1.40	16883	4.117335000
192.168.1.50	192.168.1.40	17195	4.152966000
192.168.1.50	192.168.1.40	17196	4.152973000
192.168.1.50	192.168.1.40	17197	4.153127000
192.168.1.50	192.168.1.40	17198	4.153132000
192.168.1.50	192.168.1.40	17218	4.158681000
192.168.1.50	192.168.1.40	17219	4.158856000
192.168.1.50	192.168.1.40	17328	4.173303000
192.168.1.50	192.168.1.40	17566	4.198054000
192.168.1.50	192.168.1.40	17604	4.202955000
192.168.1.50	192.168.1.40	17896	4.239390000
192.168.1.50	192.168.1.40	17898	4.239419000
192.168.1.50	192.168.1.40	17919	4.243905000
192.168.1.50	192.168.1.40	17995	4.248783000
192.168.1.50	192.168.1.40	18001	4.249176000
192.168.1.50	192.168.1.40	18002	4.249181000
192.168.1.50	192.168.1.40	18005	4.249606000
192.168.1.50	192.168.1.40	18360	4.293983000
192.168.1.50	192.168.1.40	18529	4.324350000
192.168.1.50	192.168.1.40	18570	4.330042000
192.168.1.50	192.168.1.40	18580	4.334698000
192.168.1.50	192.168.1.40	18632	4.344148000
192.168.1.50	192.168.1.40	18682	4.354310000
192.168.1.50	192.168.1.40	18685	4.354434000
192.168.1.50	192.168.1.40	18723	4.360088000
192.168.1.50	192.168.1.40	19021	4.420455000
192.168.1.50	192.168.1.40	19085	4.424791000
192.168.1.50	192.168.1.40	19267	4.450541000
192.168.1.50	192.168.1.40	19353	4.461286000
192.168.1.50	192.168.1.40	19356	4.461455000
192.168.1.50	192.168.1.40	19397	4.465019000
192.168.1.50	192.168.1.40	19509	4.480131000
192.168.1.50	192.168.1.40	19511	4.480138000
192.168.1.50	192.168.1.40	19580	4.490615000
192.168.1.50	192.168.1.40	20004	4.542206000
192.168.1.50	192.168.1.40	20021	4.545756000
192.168.1.50	192.168.1.40	20100	4.555879000
192.168.1.50	192.168.1.40	20145	4.562323000
192.168.1.50	192.168.1.40	20201	4.571364000
192.168.1.50	192.168.1.40	20306	4.581854000
192.168.1.50	192.168.1.40	20307	4.581860000
192.168.1.50	192.168.1.40	20420	4.595907000
192.168.1.50	192.168.1.40	20687	4.631732000
192.168.1.50	192.168.1.40	20803	4.642194000
192.168.1.50	192.168.1.40	20824	4.646455000
192.168.1.50	192.168.1.40	20825	4.646603000
192.168.1.50	192.168.1.40	20955	4.666583000
192.168.1.50	192.168.1.40	21079	4.681642000
192.168.1.50	192.168.1.40	21099	4.682616000
192.168.1.50	192.168.1.40	21208	4.696773000
192.168.1.50	192.168.1.40	21283	4.706910000
192.168.1.50	192.168.1.40	21458	4.727033000
192.168.1.50	192.168.1.40	21459	4.727223000
192.168.1.50	192.168.1.40	21516	4.732743000
192.168.1.50	192.168.1.40	21598	4.743451000
192.168.1.50	192.168.1.40	21854	4.772819000
192.168.1.50	192.168.1.40	21856	4.772841000
192.168.1.50	192.168.1.40	21998	4.793159000
192.168.1.50	192.168.1.40	21999	4.793164000
192.168.1.50	192.168.1.40	22093	4.803245000
192.168.1.50	192.168.1.40	22094	4.803408000
192.168.1.50	192.168.1.40	22210	4.817820000
192.168.1.50	192.168.1.40	22375	4.833351000
192.168.1.50	192.168.1.40	22553	4.853734000
192.168.1.50	192.168.1.40	22555	4.853748000
192.168.1.50	192.168.1.40	22625	4.863460000
192.168.1.50	192.168.1.40	22696	4.873066000
192.168.1.50	192.168.1.40	22791	4.883090000
192.168.1.50	192.168.1.40	22793	4.883349000
192.168.1.50	192.168.1.40	22892	4.893510000
192.168.1.50	192.168.1.40	23011	4.908867000
192.168.1.50	192.168.1.40	23236	4.933879000
192.168.1.50	192.168.1.40	23302	4.939406000
192.168.1.50	192.168.1.40	23360	4.943935000
192.168.1.50	192.168.1.40	23361	4.943941000
192.168.1.50	192.168.1.40	23390	4.949394000
192.168.1.50	192.168.1.40	23432	4.954665000
192.168.1.50	192.168.1.40	23470	4.959362000
192.168.1.50	192.168.1.40	23741	4.989503000
192.168.1.50	192.168.1.40	23923	5.014356000
192.168.1.50	192.168.1.40	23924	5.014365000
192.168.1.50	192.168.1.40	24024	5.024246000
192.168.1.50	192.168.1.40	24096	5.030694000
192.168.1.50	192.168.1.40	24122	5.034285000
192.168.1.50	192.168.1.40	24128	5.034613000
